,Seq. No.,2017 NAPCS Code,Title
1942,1943,71201010401,"Miscellaneous materials and supplies for services, nec."
1946,1947,71202010101,"Wholesaling services for medical and dental instruments and supplies, including prescription veterinary medicines"
1947,1948,71202010102,Wholesaling services for photographic supplies
1948,1949,71202010103,"Wholesaling services for household, industrial and janitorial cleaning chemicals and supplies"
1949,1950,71202010104,"Wholesaling services for disposable paper and plastic products and other materials and supplies for service industries, nec."
1955,1956,74101010101,Information technology (IT) design and development services
1957,1958,74101010201,Industrial design services
1958,1959,74101010202,"Graphic design services, except advertising graphic design "
1959,1960,74101010203,"Clothing and other specialized design services, nec."
1961,1962,74101010301,Testing services
1962,1963,74101010302,Calibration services for instruments and reference materials
1963,1964,74101010303,Product certification services
1964,1965,74101010304,Management system registration services
1965,1966,74101010305,Commercial inspection services
1966,1967,74101010306,"Consulting services, testing and related fields"
1968,1969,74101010401,Geophysical data acquisition services
1969,1970,74101010402,Geophysical data processing services
1970,1971,74101010403,Geophysical data interpretation services
1971,1972,74101010404,"Integrated geophysical services, except oil and gas well logging"
1973,1974,74101010501,Drilling and other support activities for oil and gas mining
1974,1975,74101010502,Drilling and other support activities for coal mining and metallic and nonmetallic minerals mining
1976,1977,74101010601,Weather forecasting services
1978,1979,74101010701,Economic consulting services
1980,1981,74101010801,"Scientific and technical consulting services, nec."
1986,1987,77101010101,Advertising space in printed publications 
1987,1988,77101010102,Television air time for advertising
1988,1989,77101010103,Radio air time for advertising
1989,1990,77101010104,Internet advertising
1990,1991,77101010105,Leased display advertising media space
1991,1992,77101010106,"Other advertising space, time, and similar services"
1994,1995,77101020101,Multiple advertising services
1995,1996,77101020102,"Direct marketing services, full-service"
1996,1997,77101020103,"Direct mail advertising, full-service"
1997,1998,77101020104,"Advertising creative services, including advertising graphic design services"
1999,2000,77101020201,Media planning and/or buying services
2000,2001,77101020202,Sales agent services for advertising space and time
2002,2003,77101020301,Concept development services for direct mail advertising campaigns
2003,2004,77101020302,Letter shop services
2004,2005,77101020303,Mailing lists
2005,2006,77101020304,Other direct mail advertising services
2007,2008,77101020401,"Distribution services for advertising materials, other than by mail"
2008,2009,77101020402,Coordination of production and delivery of premiums (advertising specialties)
2009,2010,77101020403,Product or merchandise demonstrations
2010,2011,77101020404,"Other advertising services, nec."
2012,2013,77101020501,Telemarketing and call support services
2015,2016,77101030101,Marketing research services
2016,2017,77101030102,Public opinion research and polling services
2017,2018,77101030103,Statistical sampling and survey design services
2021,2022,77102010101,Full public relations services
2022,2023,77102010102,Media relations services
2023,2024,77102010103,Crisis management services
2024,2025,77102010104,Lobbying services
2025,2026,77102010105,Event management services
2026,2027,77102010106,Media monitoring and analysis services
2027,2028,77102010107,Fundraising organization services
2031,2032,77103010101,Contract publishing services
2032,2033,77103010102,"Consulting services, book publishing"
2036,2037,77104010101,Television air time for programs
2037,2038,77104010102,Radio air time for programs
2041,2042,77105010101,Preproduction services for audiovisual works
2042,2043,77105010102,Postproduction services for audiovisual works
2043,2044,77105010103,Motion picture film laboratory services
2044,2045,77105010104,Support services for production of audiovisual works
2045,2046,77105010105,"Duplication and copying (except large-run) services for audiovisual works, digital and video"
2049,2050,77106010101,Studio recording services
2050,2051,77106010102,Live recording services
2051,2052,77106010103,Support services for sound recording by others
2052,2053,77106010104,Audio transfer services
2056,2057,77107010101,Carrier services and Internet backbone services
2057,2058,77107010102,"Internet access, always-on, business"
2058,2059,77107010103,Telephone and related services
2060,2061,77107010201,Information technology (IT) technical consulting services
2062,2063,77107010301,Web site hosting services
2063,2064,77107010302,Application service provisioning
2064,2065,77107010303,Business process management services
2065,2066,77107010304,Collocation services
2066,2067,77107010305,Data storage services
2067,2068,77107010306,Data management services
2068,2069,77107010307,Video and audio streaming services
2069,2070,77107010308,Other data processing or IT infrastructure provisioning services
2071,2072,77107010401,IT infrastructure and network management services
2073,2074,77107010501,IT technical support services
2075,2076,77107010601,Information and document transformation services
2077,2078,77107010701,Directories
2078,2079,77107010702,Databases and other collections of information
2080,2081,77107010801,Other information services
2084,2085,77108010101,Translation and interpretation and related services
2088,2089,77109010101,Convention and meeting photography services
2089,2090,77109010102,Commercial and industrial photography services
2090,2091,77109010103,Photofinishing services
2096,2097,81101010101,Strategic management consulting and implementation services
2097,2098,81101010102,Financial management consulting and implementation services for businesses and government
2098,2099,81101010103,Marketing management consulting and implementation services
2099,2100,81101010104,Human resources management consulting and implementation services
2100,2101,81101010105,Operations and supply chain management consulting and implementation services
2104,2105,81102010101,Facility support services
2106,2107,81102010201,Document preparation services
2107,2108,81102010202,"Copying, reproduction, and fax transmission services"
2108,2109,81102010203,Document finishing services
2109,2110,81102010204,Mailroom services and related products
2112,2113,81102020101,Bundled head-office services to the enterprise
2115,2116,81102030101,"Project management services, except construction"
2118,2119,81102040101,Career management services
2119,2120,81102040102,Representation services
2122,2123,81102050101,Management and operation services for transportation systems
2124,2125,81102050201,Air traffic control services
2125,2126,81102050202,Fixed-base-operator (FBO) services
2126,2127,81102050203,Airport operation and administration services
2127,2128,81102050204,"Other air transportation support services, nec."
2129,2130,81102050301,Rail transportation support services
2131,2132,81102050401,Marine facility services
2132,2133,81102050402,Navigational services for marine vessels
2133,2134,81102050403,Marine salvage services
2134,2135,81102050404,"Water transportation support services, nec."
2136,2137,81102050501,Road transportation support services
2140,2141,81103010101,Financial auditing services
2141,2142,81103010102,Tax auditing services
2142,2143,81103010103,Financial statement review engagements and agreed-upon procedures for financial information
2143,2144,81103010104,"Financial assurance and related services, nec."
2146,2147,81103020101,Non-financial assurance and related services
2149,2150,81103030101,General accounting services
2150,2151,81103030102,Bookkeeping and compilation services
2151,2152,81103030103,Payroll services
2152,2153,81103030104,Tax preparation and representation services
2156,2157,81104010101,Armored car services
2157,2158,81104010102,"Aerial support services, nec."
2158,2159,81104010103,"Agriculture support services, nec."
2159,2160,81104010104,"Forestry support services, nec."
2160,2161,81104010105,"Conservation services for artistic, historical, and cultural works"
2161,2162,81104010106,Bodyguard services
2162,2163,81104010107,Business and professional association membership services
2163,2164,81104010108,"Appraisal services, nec."
2164,2165,81104010109,Race animal training services and animal (except  pet) boarding services
2165,2166,81104010110,Commercial laundry services
2166,2167,81104010111,Laundry and drycleaning agency services
2167,2168,81104010112,Uniform rental and linen supply services
2168,2169,81104010113,"Other miscellaneous services, nec. "
2174,2175,84101010101,Food and beverage manufacturing services
2175,2176,84101010102,Tobacco manufacturing services
2176,2177,84101010103,Textile manufacturing services
2177,2178,84101010104,Apparel manufacturing services
2178,2179,84101010105,Wood product manufacturing services
2179,2180,84101010106,Paper manufacturing services
2180,2181,84101010107,Printing and related manufacturing services
2181,2182,84101010108,Petroleum and coal product manufacturing services
2182,2183,84101010109,Chemical manufacturing services
2183,2184,84101010110,Plastics and rubber products manufacturing services
2184,2185,84101010111,"Clay, glass, cement, and other nonmetallic minerals products manufacturing services"
2185,2186,84101010112,Metal processing and metalworking manufacturing services
2186,2187,84101010113,Machinery manufacturing services
2187,2188,84101010114,Electronic and electrical manufacturing services
2188,2189,84101010115,Transportation equipment manufacturing services
2189,2190,84101010116,Furniture and related product manufacturing services
2190,2191,84101010117,"Contract manufacturing services, nec."
2196,2197,87101010101,Public administration services
